treated,treated_name,state,control,control_name,pt17_control_M,ratio,rank,band,control_name_resolved
01071,"Jackson County, AL",1,01113,01113,5.61,0.99,1,OK,"Russell County, AL"
01089,"Madison County, AL",1,01003,01003,34.59,0.71,1,OK,"Baldwin County, AL"
04013,"Maricopa County, AZ",4,04021,04021,94.98,0.16,1,FALLBACK,"Pinal County, AZ"
13097,"Douglas County, GA",13,13223,13223,49.38,1.07,1,OK,"Paulding County, GA"
13121,"Fulton County, GA",13,13051,13051,150.44,0.28,1,FALLBACK,"Chatham County, GA"
13217,"Newton County, GA",13,13095,13095,33.35,1.01,1,OK,"Dougherty County, GA"
13313,"Whitfield County, GA",13,13255,13255,26.44,1.0,1,OK,"Spalding County, GA"
16001,"Ada County, ID",16,16055,16055,47.68,0.43,1,FALLBACK,"Kootenai County, ID"
17037,"DeKalb County, IL",17,17099,17099,24.08,1.0,1,OK,"LaSalle County, IL"
29047,"Clay County, MO",29,29215,29215,8.97,1.01,1,OK,"Texas County, MO"
31153,"Sarpy County, NE",31,31169,31169,18.91,0.48,1,FALLBACK,"Thayer County, NE"
35061,"Valencia County, NM",35,35055,"Taos County, NM",11.77,0.89,1,OK,"Taos County, NM"
38035,"Grand Forks County, ND",38,38015,38015,20.52,0.92,1,OK,"Burleigh County, ND"
38093,"Stutsman County, ND",38,38077,38077,8.48,0.89,1,OK,"Richland County, ND"
39045,"Fairfield County, OH",39,39133,39133,26.89,0.99,1,OK,"Portage County, OH"
39049,"Franklin County, OH",39,39095,39095,98.36,0.24,1,FALLBACK,"Lucas County, OH"
39089,"Licking County, OH",39,39133,39133,26.89,0.99,1,OK,"Portage County, OH"
42007,"Beaver County, PA",42,42089,42089,46.53,0.97,1,OK,"Monroe County, PA"
45015,"Berkeley County, SC",45,45077,45077,29.52,1.03,1,OK,"Pickens County, SC"
48135,"Ector County, TX",48,48071,48071,43.81,0.94,1,OK,"Chambers County, TX"
48139,"Ellis County, TX",48,48181,48181,35.51,1.01,1,OK,"Grayson County, TX"
51153,"Prince William County, VA",51,51013,51013,863.06,1.11,1,FALLBACK,"Arlington County, VA"
53017,"Douglas County, WA",53,53065,53065,11.63,1.0,1,OK,"Stevens County, WA"
