county_fips,county_name,state,fy_latest,pt_latest_dollars,pt_latest_M_pdf,pt_2017_M_census,dc_share_mid,n_dc_latest,mw_latest,pt_2018_dollars,pt_growth_pct,years_elapsed,pt_cagr_pct,vs_cpi_pct,vs_national_county_tax_pct
48173,Glasscock County,TX,2024,3661357.0,3.661357,0.312,37.642098923435974,1,200.0,,1073.511858974359,7,42.16213139828997,1045.511858974359,1047.511858974359
37069,Franklin County,NC,2024,67090739.0,67.090739,16.713,131.23359580052494,1,500.0,,301.4284628732125,7,21.963460297127458,273.4284628732125,275.4284628732125
48045,Briscoe County,TX,2024,3661357.0,3.661357,1.682,36.69455452810803,1,50.0,,117.67877526753867,7,11.753064380820334,89.67877526753867,91.67877526753867
32029,Storey County,NV,2023,22769019.0,22.769019,12.412,176.0352824347217,6,602.7096,,83.44359490815339,6,10.641254689552792,59.443594908153386,61.1578806224391
41049,Morrow County,OR,2025,15641094.0,15.641094,7.554,185.57120153749491,23,1004.2,8100960.0,107.05710881652104,8,9.52449722027171,75.05710881652104,77.34282310223533
41013,Crook County,OR,2025,14808139.0,14.808139,7.874,81.23366440146368,14,404.04,,88.06374142748287,8,8.215166998819768,56.06374142748287,58.34945571319716
35061,Valencia County,NM,2016,12283478.0,12.283478,13.189,48.91535516801361,7,414.0,,-6.865736598680715,-1,7.371869758711669,-2.865736598680715,-3.151450884395001
41059,Umatilla County,OR,2025,25403483.0,25.403483,15.0,45.25354147939968,20,795.4396,,69.35655333333334,8,6.8071313435209335,37.35655333333334,39.64226761904763
37039,Cherokee County,NC,2022,21759268.0,21.759268,17.213,34.48808359499665,3,134.0,,26.411828269331306,5,4.799097464869662,6.411828269331302,7.840399697902733
13317,Wilkes County,GA,2024,5005336.0,5.005336,4.434,37.01029066618523,1,82.0,,12.885340550293181,7,1.746540033284072,-15.114659449706823,-13.114659449706819
48125,Dickens County,TX,2022,2081890.0,2.08189,2.047,181.12296236667336,1,180.0,,1.70444553004396,5,0.33858848629277905,-18.295554469956045,-16.866983041384614
38021,Dickey County,ND,2023,3442882.0,3.442882,3.816,145.29124290054153,3,440.0,,-9.777725366876307,6,-1.7002767017243015,-33.77772536687631,-32.06343965259059
51117,Mecklenburg County,VA,2023,10700962.0,10.700962,29.706,48.65045405571803,22,316.082,,-63.977102268901895,6,-15.647794776257006,-87.97710226890189,-86.26281655461618
48103,Crane County,TX,2024,2550539.0,2.550539,9.016,73.80851961197807,1,280.0,,-71.7109693877551,7,-16.505143303637084,-99.7109693877551,-97.7109693877551
48475,Ward County,TX,2024,3661357.0,3.661357,18.07,51.25160539898708,3,423.0,,-79.73792473713337,7,-20.392342213054672,-107.73792473713337,-105.73792473713337
48371,Pecos County,TX,2022,2761636.0,2.761636,19.866,47.20834362354908,4,497.0,,-86.09868116379744,5,-32.60755686469864,-106.09868116379744,-104.670109735226
